,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,FS_PiN_2017,FS_Severity_2017
0,Damascus,Damascus,Damascus,1759800.0,651000.0,746155.0,5.0
1,Aleppo,Jebel Saman,Jebel Saman,1333135.0,410900.0,722665.0,5.0
2,Homs,Homs,Homs,721669.0,314358.0,307912.0,5.0
3,Hama,As-Salamiyeh,Oqeirbat,20750.0,1260.0,13851.0,4.0
4,Hama,Hama,Hama,647940.0,130515.0,362672.0,4.0
5,Dar'a,Izra',Tassil,28500.0,7200.0,8208.0,4.0
6,Lattakia,Lattakia,Lattakia,659070.0,350480.0,287882.0,5.0
7,Rural Damascus,Rural Damascus,Jaramana,600000.0,300000.0,312000.0,5.0
8,Idleb,Harim,Dana,342380.0,299710.0,98605.0,5.0
9,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,334490.0,156219.0,229365.0,5.0
10,Rural Damascus,Rural Damascus,Qudsiya,338600.0,125940.0,180106.0,5.0
11,Lattakia,Al-Qardaha,Al-Qardaha,37310.0,2780.0,20521.0,4.0
12,Rural Damascus,At Tall,At Tall,238650.0,196260.0,121977.0,5.0
13,Deir-ez-Zor,Deir-ez-Zor,Deir-ez-Zor,142680.0,54320.0,142680.0,5.0
14,Rural Damascus,Qatana,Qatana,314740.0,175780.0,167654.0,5.0
15,Tartous,Sheikh Badr,Baramanet Elmashayekh,14380.0,3070.0,2472.0,2.0
16,Rural Damascus,Al Qutayfah,Raheiba,35000.0,6872.0,21875.0,4.0
17,Idleb,Idleb,Idleb,120520.0,49850.0,62823.0,5.0
18,As-Sweida,Shahba,Ariqa,10530.0,2030.0,3922.0,5.0
19,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,214010.0,112265.0,162650.0,5.0
20,Aleppo,A'zaz,A'zaz,212975.0,166563.0,87432.0,5.0
21,Rural Damascus,Rural Damascus,Babella,175800.0,27820.0,79753.0,4.0
22,Tartous,Tartous,Tartous,251930.0,90170.0,104771.0,4.0
23,Aleppo,Menbij,Menbij,204048.0,54729.0,155465.0,5.0
24,Dar'a,Dar'a,Dar'a,174400.0,58650.0,77060.0,5.0
25,Rural Damascus,Duma,Duma,195900.0,40720.0,134037.0,5.0
26,Rural Damascus,Rural Damascus,Kisweh,204241.0,73135.0,97846.0,5.0
27,Aleppo,Jebel Saman,Atareb,145350.0,61175.0,61774.0,5.0
28,Rural Damascus,Rural Damascus,Kafr Batna,132040.0,52890.0,72622.0,5.0
29,Al-Hasakeh,Quamishli,Quamishli,251490.0,61826.0,120549.0,3.0
30,Rural Damascus,Duma,Harasta,207000.0,80570.0,101618.0,5.0
31,Idleb,Al Ma'ra,Ma'arrat An Nu'man,148230.0,37450.0,42690.0,4.0
32,Aleppo,Al Bab,Al Bab,60583.0,11139.0,26657.0,4.0
33,Aleppo,Afrin,Afrin,143915.0,55575.0,83608.0,5.0
34,Aleppo,A'zaz,Suran,19765.0,4640.0,9487.0,4.0
