Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN,CCCM_Severity_2017,Education_Severity_2017,Health_Severity_2017,Nutrition_Severity_2017,Protection_Severity_2017,NFI_Severity_2017,Shelter_Severity_2017,WASH_Severity_2017,FS_Severity_2017,ERL_Severity_2017
Rural Damascus,Duma,Duma,195900.00,40720.00,32720.00,65064.00,134295.00,43881.60,177225.00,78360.00,39180.00,177225.00,134037.00,109560.00,177225.00,2.00,6.00,2.00,4.00,4.00,4.00,3.00,3.00,5.00,5.00
Rural Damascus,Rural Damascus,Kisweh,204241.00,73135.00,73135.00,66735.00,138687.00,45749.98,138687.00,40848.00,122545.00,107011.00,97846.00,102076.00,138687.00,4.00,2.00,2.00,4.00,5.00,3.00,5.00,3.00,5.00,4.00
Aleppo,Jebel Saman,Atareb,145350.00,61175.00,61175.00,47417.00,100669.00,33866.55,100669.00,58140.00,29070.00,61175.00,61774.00,84797.00,100669.00,4.00,6.00,3.00,4.00,5.00,4.00,3.00,4.00,5.00,5.00
Rural Damascus,Rural Damascus,Kafr Batna,132040.00,52890.00,52890.00,42884.00,91451.00,29576.96,132040.00,52816.00,26408.00,132040.00,72622.00,77750.00,132040.00,5.00,6.00,3.00,4.00,5.00,4.00,3.00,2.00,5.00,5.00
Al-Hasakeh,Quamishli,Quamishli,251490.00,61826.00,61826.00,82460.00,174182.00,51806.94,174182.00,100596.00,50298.00,85749.00,120549.00,151692.00,174182.00,3.00,0.00,1.00,4.00,4.00,4.00,3.00,2.00,3.00,6.00
Rural Damascus,Duma,Harasta,207000.00,80570.00,80570.00,68641.00,143368.00,46368.00,143368.00,124200.00,41400.00,113700.00,101618.00,111368.00,143368.00,4.00,6.00,2.00,4.00,5.00,5.00,3.00,4.00,5.00,4.00
Idleb,Al Ma'ra,Ma'arrat An Nu'man,148230.00,37450.00,37450.00,48601.00,102664.00,30803.78,102664.00,29646.00,14823.00,37450.00,42690.00,88003.00,102664.00,3.00,3.00,3.00,3.00,4.00,3.00,2.00,2.00,4.00,5.00
Aleppo,Al Bab,Al Bab,60583.00,11139.00,11139.00,19989.00,41960.00,14115.84,41960.00,12117.00,6058.00,17465.00,26657.00,33978.00,41960.00,2.00,6.00,5.00,4.00,4.00,3.00,2.00,2.00,4.00,5.00
Aleppo,Afrin,Afrin,143915.00,55575.00,55575.00,46084.00,99676.00,33532.20,99676.00,57566.00,28783.00,66236.00,83608.00,63993.00,99676.00,4.00,3.00,2.00,4.00,4.00,4.00,3.00,4.00,5.00,6.00
Aleppo,A'zaz,Suran,19765.00,4640.00,4640.00,6422.00,13689.00,4605.25,13689.00,3953.00,1977.00,6517.00,9487.00,10267.00,13689.00,3.00,4.00,1.00,4.00,2.00,3.00,2.00,4.00,4.00,0.00
Hama,As-Salamiyeh,As-Salamiyeh,136670.00,53430.00,53430.00,44429.00,94658.00,35534.20,94658.00,27334.00,27334.00,54550.00,65417.00,73925.00,94658.00,4.00,1.00,0.00,3.00,4.00,3.00,3.00,4.00,5.00,6.00
Deir-ez-Zor,Abu Kamal,Hajin,81000.00,1600.00,1600.00,26444.00,56101.00,17597.25,56101.00,16200.00,8100.00,12052.00,48276.00,42077.00,56101.00,1.00,6.00,3.00,5.00,3.00,3.00,2.00,5.00,4.00,0.00
Dar'a,Izra',Izra',56370.00,23493.00,23493.00,18289.00,39042.00,11612.22,39042.00,22548.00,11274.00,23493.00,34395.00,28014.00,39042.00,5.00,4.00,3.00,4.00,5.00,4.00,3.00,4.00,5.00,6.00
As-Sweida,As-Sweida,As-Sweida,155120.00,26750.00,26750.00,50881.00,107436.00,33350.80,107436.00,15512.00,15512.00,26750.00,55843.00,96572.00,107436.00,2.00,2.00,1.00,3.00,4.00,2.00,2.00,3.00,4.00,5.00
Deir-ez-Zor,Al Mayadin,Al Mayadin,132400.00,47200.00,47200.00,43666.00,91700.00,27646.55,91700.00,26480.00,26480.00,57597.00,87384.00,52540.00,91700.00,4.00,6.00,3.00,5.00,5.00,3.00,3.00,5.00,5.00,5.00
Quneitra,Quneitra,Quneitra,11840.00,10200.00,10200.00,3959.00,8200.00,2758.72,11144.00,2368.00,2368.00,10334.00,11144.00,5833.00,11144.00,6.00,6.00,4.00,3.00,6.00,3.00,3.00,5.00,5.00,4.00
Dar'a,As-Sanamayn,As-Sanamayn,114542.00,34205.00,34205.00,37396.00,79332.00,23595.65,79332.00,45817.00,22908.00,35831.00,59118.00,58615.00,79332.00,3.00,4.00,2.00,4.00,5.00,4.00,3.00,4.00,5.00,4.00
Deir-ez-Zor,Abu Kamal,Abu Kamal,114350.00,17040.00,17040.00,36203.00,79199.00,24216.14,102915.00,22870.00,11435.00,29578.00,102915.00,59401.00,102915.00,2.00,6.00,3.00,5.00,3.00,3.00,2.00,5.00,4.00,0.00
Dar'a,Dar'a,Mzeireb,109600.00,38735.00,38735.00,36012.00,75909.00,22577.60,75909.00,21920.00,21920.00,38735.00,31565.00,58411.00,75909.00,4.00,4.00,1.00,4.00,5.00,3.00,3.00,4.00,4.00,4.00
Tartous,Tartous,Arwad,4400.00,60.00,60.00,1425.00,3047.00,1104.40,3047.00,440.00,880.00,60.00,1735.00,2514.00,3047.00,1.00,1.00,0.00,3.00,1.00,2.00,3.00,2.00,4.00,6.00
Idleb,Al Ma'ra,Kafr Nobol,89000.00,37980.00,37980.00,29196.00,61641.00,18121.43,61641.00,35600.00,8900.00,37980.00,25632.00,51171.00,61641.00,5.00,1.00,2.00,3.00,5.00,4.00,2.00,3.00,4.00,5.00
Deir-ez-Zor,Al Mayadin,Ashara,113400.00,8440.00,8440.00,37482.00,78541.00,23615.55,78541.00,11340.00,11340.00,22143.00,47174.00,58908.00,78541.00,1.00,6.00,2.00,5.00,2.00,2.00,2.00,5.00,4.00,0.00
Idleb,Harim,Salqin,101989.00,63799.00,63799.00,33766.00,70638.00,21797.40,70638.00,20398.00,20398.00,63799.00,41433.00,50088.00,70638.00,6.00,6.00,1.00,3.00,4.00,3.00,3.00,3.00,5.00,4.00
Idleb,Ariha,Ariha,90240.00,20540.00,20540.00,29842.00,62500.00,19076.25,63168.00,18048.00,9024.00,20540.00,63168.00,53246.00,63168.00,3.00,5.00,2.00,3.00,4.00,3.00,2.00,2.00,5.00,5.00
Rural Damascus,Duma,Ghizlaniyyeh,92500.00,50040.00,50040.00,31998.00,64066.00,20720.00,64066.00,37000.00,18500.00,50040.00,30833.00,44838.00,64066.00,6.00,4.00,0.00,4.00,4.00,4.00,3.00,4.00,5.00,5.00
Idleb,Idleb,Maaret Tamsrin,100006.00,49325.00,49325.00,32830.00,64277.00,20473.82,64277.00,20001.00,10001.00,56525.00,28802.00,55270.00,64277.00,5.00,4.00,2.00,3.00,5.00,3.00,2.00,3.00,4.00,5.00
Idleb,Idleb,Saraqab,83400.00,35590.00,35590.00,26816.00,57763.00,17340.04,57763.00,33360.00,8340.00,35590.00,23670.00,46282.00,57763.00,5.00,5.00,2.00,3.00,5.00,4.00,2.00,2.00,4.00,4.00
Homs,Ar-Rastan,Talbiseh,112300.00,29250.00,29250.00,36599.00,77779.00,29198.00,110989.00,44920.00,44920.00,110989.00,62888.00,70157.00,110989.00,3.00,6.00,2.00,3.00,5.00,4.00,4.00,5.00,5.00,5.00
Al-Hasakeh,Ras Al Ain,Ras Al Ain,69520.00,4820.00,4820.00,22912.00,48150.00,14321.12,48150.00,13904.00,27808.00,13274.00,33092.00,38823.00,48150.00,1.00,6.00,3.00,4.00,3.00,3.00,4.00,3.00,5.00,5.00
Ar-Raqqa,Ar-Raqqa,Maadan,22000.00,1770.00,1770.00,7215.00,15237.00,4532.00,21511.00,2200.00,2200.00,4409.00,21511.00,11428.00,21511.00,1.00,6.00,5.00,5.00,2.00,2.00,2.00,2.00,4.00,0.00
Hama,As-Suqaylabiyah,Madiq Castle,71410.00,8840.00,8840.00,23346.00,49459.00,18566.60,49459.00,14282.00,3571.00,8840.00,19995.00,36751.00,49459.00,2.00,2.00,3.00,3.00,4.00,3.00,1.00,3.00,3.00,6.00
Aleppo,Jebel Saman,Daret Azza,82520.00,36838.00,36838.00,27088.00,57153.00,19227.16,57153.00,33008.00,16504.00,36838.00,37629.00,47399.00,57153.00,5.00,4.00,2.00,4.00,5.00,4.00,3.00,2.00,5.00,5.00
Aleppo,Afrin,Sharan,23900.00,10490.00,10490.00,7781.00,16553.00,5568.70,16553.00,9560.00,4780.00,12071.00,7170.00,14795.00,16553.00,5.00,4.00,1.00,4.00,4.00,4.00,3.00,3.00,4.00,6.00
Ar-Raqqa,Ath-Thawrah,Al-Thawrah,74000.00,4200.00,4200.00,23802.00,51252.00,15577.00,67833.00,7400.00,7400.00,13338.00,67833.00,38441.00,67833.00,1.00,6.00,4.00,5.00,3.00,2.00,2.00,3.00,4.00,0.00
Al-Hasakeh,Al-Malikeyyeh,Al-Malikeyyeh,79470.00,5355.00,5355.00,25960.00,55041.00,16370.82,55041.00,15894.00,31788.00,15042.00,47682.00,43462.00,55041.00,1.00,2.00,1.00,4.00,2.00,3.00,4.00,2.00,5.00,5.00
Aleppo,Jebel Saman,Tall Ed-daman,52832.00,6623.00,6623.00,17147.00,36591.00,12309.86,36591.00,10566.00,10566.00,6623.00,29058.00,29757.00,36591.00,2.00,6.00,4.00,4.00,4.00,3.00,3.00,5.00,4.00,4.00
Deir-ez-Zor,Deir-ez-Zor,Kisreh,90990.00,12450.00,12450.00,30256.00,63020.00,19274.63,63020.00,18198.00,18198.00,22593.00,54594.00,47267.00,63020.00,2.00,6.00,3.00,5.00,3.00,3.00,3.00,5.00,4.00,0.00
Idleb,Jisr-Ash-Shugur,Badama,56545.00,51860.00,51860.00,18520.00,39163.00,11873.84,51860.00,22618.00,11309.00,51860.00,16285.00,31773.00,51860.00,6.00,6.00,1.00,3.00,6.00,4.00,3.00,3.00,5.00,4.00
Aleppo,Menbij,Al-Khafsa,94470.00,26060.00,26060.00,31179.00,65430.00,22011.51,65430.00,18894.00,9447.00,35007.00,52605.00,49074.00,65430.00,3.00,6.00,5.00,4.00,4.00,3.00,2.00,4.00,5.00,0.00
Idleb,Al Ma'ra,Khan Shaykun,19390.00,9580.00,9580.00,6294.00,13430.00,4005.21,13430.00,3878.00,3878.00,9580.00,8944.00,11992.00,13430.00,5.00,6.00,2.00,3.00,5.00,3.00,3.00,4.00,5.00,6.00
Homs,Ar-Rastan,Ar-Rastan,71890.00,15070.00,15070.00,23560.00,49791.00,18691.40,71890.00,28756.00,43134.00,71890.00,20704.00,36384.00,71890.00,3.00,6.00,3.00,3.00,4.00,4.00,5.00,5.00,3.00,4.00
Homs,Homs,Kherbet Tin Noor,72805.00,3490.00,3490.00,23847.00,50425.00,18929.30,50425.00,7281.00,7281.00,3490.00,20385.00,37820.00,50425.00,0.00,1.00,1.00,3.00,2.00,2.00,2.00,3.00,3.00,0.00
Idleb,Ariha,Ehsem,63000.00,12910.00,12910.00,20679.00,43634.00,13220.21,43634.00,12600.00,6300.00,12910.00,18144.00,37382.00,43634.00,3.00,4.00,2.00,3.00,4.00,3.00,2.00,3.00,3.00,5.00
Hama,Hama,Hamra,25835.00,6980.00,6980.00,8491.00,17893.00,6717.10,17893.00,10334.00,5167.00,7054.00,12020.00,12628.00,17893.00,3.00,4.00,3.00,3.00,4.00,4.00,3.00,2.00,5.00,4.00
Aleppo,Jebel Saman,Zarbah,46890.00,5470.00,5470.00,15738.00,32476.00,10925.37,32476.00,18756.00,9378.00,5470.00,16130.00,28655.00,32476.00,2.00,6.00,5.00,4.00,4.00,4.00,3.00,4.00,3.00,6.00
Tartous,Banyas,Banyas,82900.00,19170.00,19170.00,27388.00,57417.00,20807.90,57417.00,16580.00,16580.00,19170.00,32546.00,43064.00,57417.00,3.00,4.00,0.00,3.00,3.00,3.00,3.00,3.00,4.00,0.00
Deir-ez-Zor,Al Mayadin,Thiban,76900.00,15010.00,15010.00,25229.00,53261.00,16524.05,53261.00,7690.00,15380.00,22909.00,35682.00,39947.00,53261.00,2.00,6.00,2.00,5.00,3.00,2.00,3.00,5.00,4.00,0.00
Hama,Masyaf,Masyaf,73500.00,12720.00,12720.00,24103.00,50906.00,19110.00,50906.00,7350.00,14700.00,12720.00,30476.00,44423.00,50906.00,0.00,0.00,0.00,3.00,1.00,2.00,3.00,3.00,5.00,6.00
Rural Damascus,Rural Damascus,Arbin,51000.00,4570.00,4570.00,16761.00,35323.00,11424.00,51000.00,10200.00,5100.00,51000.00,17506.00,28449.00,51000.00,1.00,6.00,3.00,4.00,3.00,3.00,2.00,2.00,3.00,4.00
Rural Damascus,Az-Zabdani,Madaya,51100.00,1800.00,1800.00,16784.00,35392.00,11446.40,45700.00,20440.00,10220.00,45700.00,27546.00,22387.00,45700.00,1.00,6.00,3.00,4.00,4.00,4.00,3.00,2.00,5.00,6.00
Homs,Homs,Taldu,71100.00,4350.00,4350.00,23249.00,49244.00,18486.00,69597.00,28440.00,14220.00,69597.00,31995.00,38500.00,69597.00,1.00,6.00,2.00,3.00,4.00,4.00,3.00,3.00,4.00,4.00
Hama,Muhradah,Muhradah,48115.00,8585.00,8585.00,15315.00,33324.00,12509.90,33324.00,19246.00,9623.00,11083.00,23208.00,26272.00,33324.00,2.00,5.00,1.00,3.00,3.00,4.00,3.00,3.00,5.00,6.00
Rural Damascus,Darayya,Sahnaya,60000.00,37000.00,37000.00,20200.00,41556.00,13440.00,41556.00,12000.00,36000.00,37000.00,24679.00,32952.00,41556.00,6.00,6.00,1.00,4.00,4.00,3.00,5.00,3.00,5.00,6.00
Deir-ez-Zor,Abu Kamal,Susat,75400.00,1190.00,1190.00,24727.00,52222.00,15532.40,52222.00,15080.00,7540.00,10964.00,36795.00,39168.00,52222.00,1.00,6.00,5.00,5.00,2.00,3.00,2.00,5.00,4.00,0.00
Rural Damascus,Qatana,Sa'sa',62060.00,10310.00,10310.00,20602.00,42983.00,13901.44,46414.00,12412.00,12412.00,46414.00,33099.00,29552.00,46414.00,2.00,2.00,2.00,4.00,3.00,3.00,3.00,2.00,4.00,5.00
Homs,Tall Kalakh,Nasra,57700.00,40910.00,40910.00,18923.00,39963.00,15002.00,40910.00,11540.00,11540.00,40910.00,24129.00,29973.00,40910.00,6.00,6.00,0.00,3.00,3.00,3.00,3.00,2.00,5.00,0.00
Dar'a,Izra',Jasim,58000.00,24000.00,24000.00,18559.00,40171.00,11948.00,46787.00,23200.00,11600.00,24000.00,46787.00,33143.00,46787.00,5.00,3.00,1.00,4.00,4.00,4.00,3.00,4.00,5.00,6.00
Dar'a,Izra',Nawa ,57600.00,22810.00,22810.00,18782.00,39894.00,11865.60,39894.00,11520.00,11520.00,22810.00,17856.00,31107.00,39894.00,4.00,2.00,2.00,4.00,4.00,3.00,3.00,4.00,4.00,4.00
Rural Damascus,Az-Zabdani,Sarghaya,15500.00,900.00,900.00,5070.00,10735.00,3472.00,13900.00,1550.00,1550.00,13900.00,4805.00,8052.00,13900.00,1.00,5.00,2.00,4.00,2.00,2.00,2.00,3.00,3.00,0.00
Al-Hasakeh,Quamishli,Amuda,45260.00,14680.00,14680.00,14759.00,31347.00,9323.56,31347.00,18104.00,27156.00,18452.00,21590.00,27197.00,31347.00,4.00,2.00,2.00,4.00,4.00,4.00,5.00,2.00,4.00,6.00
Deir-ez-Zor,Deir-ez-Zor,Tabni,67750.00,10280.00,10280.00,21919.00,46924.00,14114.23,46924.00,13550.00,13550.00,17681.00,26558.00,35194.00,46924.00,2.00,6.00,4.00,5.00,3.00,3.00,3.00,5.00,4.00,0.00
Quneitra,Al Fiq,Fiq,2420.00,578.00,578.00,793.00,1676.00,563.86,1676.00,484.00,484.00,578.00,1300.00,1072.00,1676.00,3.00,2.00,4.00,3.00,2.00,3.00,3.00,4.00,4.00,4.00
Idleb,Al Ma'ra,Sanjar,60870.00,17500.00,17500.00,20002.00,42159.00,12672.20,43265.00,12174.00,6087.00,17500.00,43265.00,37677.00,43265.00,3.00,4.00,2.00,3.00,3.00,3.00,2.00,5.00,5.00,5.00
Rural Damascus,Al Qutayfah,Jirud,30400.00,2140.00,2140.00,9869.00,21055.00,6809.60,26700.00,6080.00,6080.00,26700.00,11400.00,13029.00,26700.00,1.00,5.00,1.00,4.00,2.00,3.00,3.00,3.00,4.00,6.00
Al-Hasakeh,Al-Hasakeh,Tal Tamer,50755.00,4690.00,4690.00,16560.00,35153.00,10455.53,35153.00,10151.00,20302.00,10720.00,18840.00,30668.00,35153.00,1.00,2.00,3.00,4.00,3.00,3.00,4.00,3.00,5.00,6.00
Homs,Al-Qusayr,Al Quasir,56890.00,14360.00,14360.00,18434.00,39402.00,14791.40,39402.00,5689.00,22756.00,14360.00,22009.00,24743.00,39402.00,3.00,0.00,2.00,3.00,3.00,2.00,4.00,4.00,5.00,6.00
Ar-Raqqa,Ar-Raqqa,Karama,37550.00,3455.00,3455.00,12313.00,26007.00,7752.40,30979.00,3755.00,7510.00,7893.00,30979.00,19506.00,30979.00,1.00,6.00,4.00,5.00,2.00,2.00,3.00,2.00,4.00,0.00
Idleb,Harim,Harim,35355.00,21680.00,21680.00,11977.00,24487.00,7223.27,24487.00,14142.00,7071.00,21680.00,20661.00,18442.00,24487.00,5.00,5.00,1.00,3.00,4.00,4.00,3.00,3.00,5.00,4.00
Rural Damascus,Qatana,Bait Jan,7460.00,0.00,0.00,2447.00,5167.00,1671.04,7460.00,746.00,1492.00,7460.00,6877.00,3875.00,7460.00,0.00,6.00,2.00,4.00,2.00,2.00,3.00,2.00,4.00,0.00
Tartous,Safita,Safita,59620.00,19055.00,19055.00,19414.00,41293.00,14964.62,41293.00,23848.00,5962.00,19055.00,21276.00,34069.00,41293.00,4.00,0.00,0.00,3.00,3.00,4.00,2.00,4.00,4.00,6.00
Quneitra,Quneitra,Khan Arnaba,44190.00,18025.00,18025.00,14431.00,30606.00,10296.27,33246.00,17676.00,17676.00,18332.00,33246.00,22416.00,33246.00,5.00,1.00,2.00,3.00,5.00,4.00,4.00,4.00,5.00,4.00
Lattakia,Jablah,Jablah,64670.00,26055.00,26055.00,20963.00,44790.00,16814.20,44790.00,12934.00,25868.00,26055.00,21876.00,26279.00,44790.00,5.00,5.00,0.00,4.00,3.00,3.00,4.00,2.00,4.00,5.00
Hama,Hama,Harbanifse,46520.00,1480.00,1480.00,15083.00,32220.00,12095.20,41432.00,18608.00,9304.00,9691.00,41432.00,30275.00,41432.00,1.00,3.00,1.00,3.00,4.00,4.00,3.00,4.00,4.00,6.00
Aleppo,Ain Al Arab,Ain al Arab,94387.00,425.00,425.00,28350.00,65372.00,21992.17,65372.00,9439.00,18877.00,12820.00,50216.00,57648.00,65372.00,1.00,6.00,2.00,4.00,4.00,2.00,3.00,1.00,4.00,5.00
Dar'a,Dar'a,Da'el,52000.00,19500.00,19500.00,17053.00,36015.00,10712.00,36015.00,10400.00,5200.00,19500.00,14976.00,26413.00,36015.00,4.00,5.00,1.00,4.00,4.00,3.00,2.00,3.00,4.00,5.00
Rural Damascus,Darayya,Markaz Darayya,43000.00,2520.00,2520.00,15349.00,29782.00,9632.00,43000.00,4300.00,4300.00,43000.00,20741.00,21614.00,43000.00,1.00,6.00,3.00,4.00,4.00,2.00,2.00,3.00,5.00,5.00
Aleppo,As-Safira,Banan,10990.00,3065.00,3065.00,3605.00,7612.00,2560.67,7612.00,2198.00,2198.00,3065.00,3209.00,6210.00,7612.00,3.00,6.00,5.00,4.00,3.00,3.00,3.00,5.00,4.00,6.00
Dar'a,Dar'a,Kherbet Ghazala,26700.00,13250.00,13250.00,8764.00,18492.00,5500.20,18492.00,10680.00,2670.00,13250.00,7690.00,13562.00,18492.00,5.00,3.00,2.00,4.00,5.00,4.00,2.00,4.00,4.00,6.00
Deir-ez-Zor,Deir-ez-Zor,Khasham,62300.00,850.00,850.00,19899.00,43149.00,13114.15,43149.00,6230.00,6230.00,8946.00,17942.00,32363.00,43149.00,1.00,6.00,2.00,5.00,3.00,2.00,2.00,5.00,3.00,0.00
Hama,Hama,Suran,26625.00,4340.00,4340.00,8659.00,18440.00,6922.50,23713.00,10650.00,5325.00,4708.00,23713.00,15468.00,23713.00,2.00,5.00,3.00,3.00,4.00,4.00,3.00,2.00,4.00,6.00
Aleppo,Menbij,Maskana,45370.00,10955.00,10955.00,14411.00,31423.00,10571.21,31423.00,9074.00,4537.00,15301.00,18148.00,23568.00,31423.00,3.00,6.00,4.00,4.00,4.00,3.00,2.00,4.00,4.00,0.00
Dar'a,Izra',Sheikh Miskine,14480.00,2220.00,2220.00,4693.00,10029.00,2982.88,10029.00,2896.00,1448.00,2220.00,9050.00,7631.00,10029.00,2.00,3.00,4.00,4.00,4.00,3.00,2.00,3.00,4.00,5.00
Idleb,Harim,Qourqeena,49200.00,22120.00,22120.00,16141.00,34076.00,10243.88,34076.00,9840.00,9840.00,22120.00,28395.00,26552.00,34076.00,4.00,5.00,1.00,3.00,3.00,3.00,3.00,3.00,5.00,6.00
Rural Damascus,Anbk,Anbk,49430.00,24110.00,24110.00,16234.00,34235.00,11072.32,34235.00,9886.00,19772.00,24127.00,14829.00,30469.00,34235.00,5.00,2.00,2.00,4.00,5.00,3.00,4.00,3.00,4.00,6.00
Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,49845.00,18380.00,18380.00,16282.00,34523.00,10758.83,34523.00,9969.00,9969.00,18380.00,27913.00,26842.00,34523.00,3.00,5.00,2.00,3.00,5.00,3.00,3.00,4.00,5.00,4.00
Idleb,Idleb,Abul Thohur,49350.00,21330.00,21330.00,16086.00,34180.00,10448.18,34180.00,19740.00,19740.00,21330.00,26834.00,26852.00,34180.00,5.00,6.00,3.00,3.00,5.00,4.00,4.00,5.00,5.00,4.00
Dar'a,Dar'a,Mseifra,39790.00,16840.00,16840.00,13074.00,27559.00,8196.74,27559.00,15916.00,7958.00,16840.00,11460.00,19522.00,27559.00,5.00,5.00,2.00,4.00,4.00,4.00,3.00,3.00,4.00,5.00
Aleppo,Afrin,Raju,61015.00,22360.00,22360.00,19788.00,42259.00,14216.50,42259.00,24406.00,12203.00,27060.00,18305.00,35242.00,42259.00,4.00,4.00,1.00,4.00,3.00,4.00,3.00,3.00,4.00,6.00
Al-Hasakeh,Al-Hasakeh,Shadadah,43750.00,6680.00,6680.00,14280.00,30301.00,9012.50,30301.00,8750.00,17500.00,11453.00,15559.00,29167.00,30301.00,2.00,6.00,4.00,4.00,4.00,3.00,4.00,4.00,3.00,6.00
As-Sweida,Salkhad,Gharyeh,4600.00,330.00,330.00,1511.00,3186.00,989.00,3186.00,460.00,460.00,330.00,1840.00,2337.00,3186.00,1.00,0.00,1.00,3.00,1.00,2.00,2.00,3.00,5.00,6.00
Deir-ez-Zor,Deir-ez-Zor,Basira,43570.00,3575.00,3575.00,14028.00,30177.00,9073.45,30177.00,4357.00,8714.00,8790.00,23964.00,22633.00,30177.00,1.00,6.00,2.00,5.00,2.00,2.00,3.00,5.00,4.00,0.00
Aleppo,Jarablus,Jarablus,27780.00,11450.00,11450.00,9220.00,19240.00,6472.74,19240.00,11112.00,5556.00,13399.00,10464.00,14431.00,19240.00,5.00,6.00,1.00,4.00,5.00,4.00,3.00,4.00,5.00,0.00
Dar'a,Izra',Hrak,46500.00,9790.00,9790.00,15295.00,32206.00,9579.00,32206.00,9300.00,9300.00,9790.00,13392.00,23667.00,32206.00,3.00,6.00,2.00,4.00,4.00,3.00,3.00,4.00,3.00,4.00
Idleb,Jisr-Ash-Shugur,Darkosh,49300.00,23495.00,23495.00,16110.00,34145.00,10605.26,34145.00,9860.00,9860.00,23495.00,27608.00,27467.00,34145.00,5.00,5.00,2.00,3.00,4.00,3.00,3.00,4.00,5.00,4.00
Aleppo,Afrin,Jandairis,47070.00,16710.00,16710.00,15244.00,32601.00,10967.31,32601.00,18828.00,9414.00,20417.00,14121.00,17625.00,32601.00,4.00,3.00,2.00,4.00,4.00,4.00,3.00,2.00,4.00,4.00
Ar-Raqqa,Ath-Thawrah,Mansura,51700.00,11992.00,11992.00,16955.00,35807.00,10650.20,35807.00,10340.00,10340.00,17306.00,28435.00,26857.00,35807.00,3.00,6.00,5.00,5.00,4.00,3.00,3.00,4.00,4.00,0.00
Aleppo,Al Bab,Dayr Hafir,10000.00,0.00,0.00,0.00,0.00,2330.00,4844.00,,,1320.00,4844.00,,4844.00,NA,6.00,6.00,4.00,2.00,NA,0.00,0.00,4.00,0.00
As-Sweida,Shahba,Shahba,34270.00,9500.00,9500.00,11263.00,23735.00,7368.05,23735.00,3427.00,1714.00,9500.00,12076.00,13599.00,23735.00,3.00,1.00,1.00,3.00,3.00,2.00,1.00,4.00,4.00,6.00
Rural Damascus,Anbk,Deir Attiyeh,45400.00,14650.00,14650.00,14845.00,31444.00,10169.60,31444.00,18160.00,9080.00,15138.00,13075.00,23584.00,31444.00,4.00,4.00,1.00,4.00,5.00,4.00,3.00,3.00,4.00,6.00
Rural Damascus,Al Qutayfah,Al Qutayfah,48300.00,4960.00,4960.00,15991.00,33453.00,10819.20,33453.00,4830.00,4830.00,4960.00,24522.00,25760.00,33453.00,2.00,4.00,1.00,4.00,2.00,2.00,2.00,3.00,5.00,6.00
Quneitra,Quneitra,Al-Khashniyyeh,37195.00,18683.00,18683.00,12137.00,25761.00,8666.44,25761.00,14878.00,7439.00,18683.00,23946.00,19838.00,25761.00,6.00,5.00,4.00,3.00,4.00,4.00,3.00,4.00,5.00,4.00
Lattakia,Jablah,Qteilbiyyeh,21250.00,1260.00,1260.00,6949.00,14718.00,5525.00,14718.00,2125.00,4250.00,1260.00,5950.00,11039.00,14718.00,1.00,5.00,0.00,4.00,1.00,2.00,3.00,3.00,3.00,0.00
Hama,Masyaf,Oj,48110.00,10400.00,10400.00,15778.00,33321.00,12508.60,33321.00,4811.00,28866.00,10400.00,31572.00,24992.00,33321.00,3.00,4.00,0.00,3.00,2.00,2.00,5.00,3.00,4.00,0.00
Dar'a,As-Sanamayn,Ghabagheb,44880.00,14300.00,14300.00,14634.00,31084.00,9245.28,31084.00,17952.00,8976.00,14489.00,17952.00,26333.00,31084.00,4.00,3.00,2.00,4.00,5.00,4.00,3.00,3.00,5.00,5.00
Aleppo,A'zaz,Nabul,40540.00,845.00,845.00,13205.00,28078.00,9445.82,28078.00,8108.00,4054.00,1059.00,24324.00,21059.00,28078.00,1.00,3.00,2.00,4.00,3.00,3.00,2.00,3.00,4.00,0.00
Rural Damascus,Az-Zabdani,Ein Elfijeh,40900.00,9520.00,9520.00,13420.00,28327.00,9161.60,40900.00,16360.00,16360.00,40900.00,14929.00,22274.00,40900.00,3.00,6.00,1.00,4.00,5.00,4.00,4.00,3.00,4.00,5.00
Idleb,Al Ma'ra,Heish,48790.00,25380.00,25380.00,16026.00,33792.00,10054.30,33792.00,19516.00,9758.00,25380.00,15125.00,28433.00,33792.00,6.00,4.00,3.00,3.00,5.00,4.00,3.00,1.00,5.00,6.00
Dar'a,Dar'a,Jizeh,32160.00,21335.00,21335.00,10666.00,22274.00,6624.96,22274.00,12864.00,6432.00,21335.00,9262.00,15314.00,22274.00,6.00,6.00,1.00,4.00,4.00,4.00,3.00,4.00,5.00,4.00
Al-Hasakeh,Ras Al Ain,Darbasiyah,40120.00,6350.00,6350.00,13069.00,27787.00,8264.72,27787.00,8024.00,16048.00,10693.00,20862.00,20598.00,27787.00,2.00,5.00,2.00,4.00,3.00,3.00,4.00,3.00,5.00,6.00
