Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN,CCCM_Severity_2017,Education_Severity_2017,Health_Severity_2017,Nutrition_Severity_2017,Protection_Severity_2017,NFI_Severity_2017,Shelter_Severity_2017,WASH_Severity_2017,FS_Severity_2017,ERL_Severity_2017
Lattakia,Jablah,Dalyeh,9570.00,360.00,360.00,3134.00,6628.00,2488.20,6628.00,957.00,1914.00,360.00,3350.00,4971.00,6628.00,1.00,4.00,0.00,4.00,1.00,2.00,3.00,3.00,3.00,0.00
Aleppo,Al Bab,Eastern Kwaires ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NA,0.00,NA,0.00,NA,6.00,6.00,4.00,3.00,2.00,2.00,0.00,4.00,6.00
Tartous,Banyas,Anaza,15300.00,2000.00,2000.00,5028.00,10597.00,3840.30,10597.00,1530.00,1530.00,2000.00,4303.00,8500.00,10597.00,2.00,3.00,0.00,3.00,2.00,2.00,2.00,4.00,4.00,6.00
Aleppo,As-Safira,Khanaser,540.00,0.00,0.00,177.00,374.00,125.82,374.00,54.00,54.00,,183.00,281.00,374.00,0.00,6.00,5.00,4.00,2.00,2.00,2.00,5.00,3.00,0.00
Homs,Tall Kalakh,Hadideh,41567.00,0.00,0.00,0.00,28789.00,10807.42,28789.00,,2078.00,,17146.00,21593.00,28789.00,0.00,3.00,0.00,3.00,0.00,NA,1.00,3.00,4.00,0.00
Tartous,Sheikh Badr,Qumseyyeh,13460.00,3190.00,3190.00,4404.00,9322.00,3378.46,9322.00,1346.00,1346.00,3190.00,3575.00,2564.00,9322.00,3.00,0.00,0.00,3.00,2.00,2.00,2.00,3.00,4.00,6.00
Rural Damascus,At Tall,Rankus,9870.00,60.00,60.00,2921.00,6836.00,2210.88,8019.00,1974.00,987.00,60.00,8019.00,5640.00,8019.00,1.00,5.00,1.00,4.00,3.00,3.00,2.00,3.00,4.00,6.00
Tartous,Dreikish,Dweir Raslan,11060.00,2240.00,2240.00,3624.00,7660.00,2776.06,10023.00,2212.00,2212.00,2240.00,10023.00,5618.00,10023.00,3.00,0.00,1.00,3.00,2.00,3.00,3.00,3.00,4.00,6.00
Homs,Tadmor,Sokhneh,13870.00,860.00,860.00,4478.00,9606.00,3606.20,9606.00,1387.00,1387.00,2562.00,9479.00,7205.00,9606.00,1.00,6.00,4.00,3.00,3.00,2.00,2.00,4.00,4.00,0.00
Aleppo,Afrin,Sheikh El-Hadid,12830.00,5080.00,5080.00,4177.00,8886.00,2989.39,8886.00,5132.00,2566.00,6012.00,3849.00,1222.00,8886.00,4.00,4.00,2.00,4.00,2.00,4.00,3.00,3.00,4.00,6.00
