,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,CCCM_PiN_2017,Education_PiN_2017,Health_PiN_2017,Nutrition_PiN_2017,Protection_PiN_2017,NFI_PiN_2017,Shelter_PiN_2017,WASH_PiN_2017,FS_PiN_2017,ERL_PiN_2017,Intersector_PiN
51,Idleb,Idleb,Saraqab,83400.0,35590.0,35590.0,26816.0,57763.0,17340.04,57763.0,33360.0,8340.0,35590.0,23670.0,46282.0,57763.0
52,Homs,Ar-Rastan,Talbiseh,112300.0,29250.0,29250.0,36599.0,77779.0,29198.0,110989.0,44920.0,44920.0,110989.0,62888.0,70157.0,110989.0
53,Al-Hasakeh,Ras Al Ain,Ras Al Ain,69520.0,4820.0,4820.0,22912.0,48150.0,14321.12,48150.0,13904.0,27808.0,13274.0,33092.0,38823.0,48150.0
54,Ar-Raqqa,Ar-Raqqa,Maadan,22000.0,1770.0,1770.0,7215.0,15237.0,4532.0,21511.0,2200.0,2200.0,4409.0,21511.0,11428.0,21511.0
55,Hama,As-Suqaylabiyah,Madiq Castle,71410.0,8840.0,8840.0,23346.0,49459.0,18566.6,49459.0,14282.0,3571.0,8840.0,19995.0,36751.0,49459.0
56,Aleppo,Jebel Saman,Daret Azza,82520.0,36838.0,36838.0,27088.0,57153.0,19227.16,57153.0,33008.0,16504.0,36838.0,37629.0,47399.0,57153.0
57,Aleppo,Afrin,Sharan,23900.0,10490.0,10490.0,7781.0,16553.0,5568.7,16553.0,9560.0,4780.0,12071.0,7170.0,14795.0,16553.0
58,Ar-Raqqa,Ath-Thawrah,Al-Thawrah,74000.0,4200.0,4200.0,23802.0,51252.0,15577.0,67833.0,7400.0,7400.0,13338.0,67833.0,38441.0,67833.0
59,Al-Hasakeh,Al-Malikeyyeh,Al-Malikeyyeh,79470.0,5355.0,5355.0,25960.0,55041.0,16370.82,55041.0,15894.0,31788.0,15042.0,47682.0,43462.0,55041.0
60,Aleppo,Jebel Saman,Tall Ed-daman,52832.0,6623.0,6623.0,17147.0,36591.0,12309.86,36591.0,10566.0,10566.0,6623.0,29058.0,29757.0,36591.0
61,Deir-ez-Zor,Deir-ez-Zor,Kisreh,90990.0,12450.0,12450.0,30256.0,63020.0,19274.63,63020.0,18198.0,18198.0,22593.0,54594.0,47267.0,63020.0
62,Idleb,Jisr-Ash-Shugur,Badama,56545.0,51860.0,51860.0,18520.0,39163.0,11873.84,51860.0,22618.0,11309.0,51860.0,16285.0,31773.0,51860.0
63,Aleppo,Menbij,Al-Khafsa,94470.0,26060.0,26060.0,31179.0,65430.0,22011.51,65430.0,18894.0,9447.0,35007.0,52605.0,49074.0,65430.0
64,Idleb,Al Ma'ra,Khan Shaykun,19390.0,9580.0,9580.0,6294.0,13430.0,4005.21,13430.0,3878.0,3878.0,9580.0,8944.0,11992.0,13430.0
65,Homs,Ar-Rastan,Ar-Rastan,71890.0,15070.0,15070.0,23560.0,49791.0,18691.4,71890.0,28756.0,43134.0,71890.0,20704.0,36384.0,71890.0
66,Homs,Homs,Kherbet Tin Noor,72805.0,3490.0,3490.0,23847.0,50425.0,18929.3,50425.0,7281.0,7281.0,3490.0,20385.0,37820.0,50425.0
67,Idleb,Ariha,Ehsem,63000.0,12910.0,12910.0,20679.0,43634.0,13220.21,43634.0,12600.0,6300.0,12910.0,18144.0,37382.0,43634.0
68,Hama,Hama,Hamra,25835.0,6980.0,6980.0,8491.0,17893.0,6717.1,17893.0,10334.0,5167.0,7054.0,12020.0,12628.0,17893.0
69,Aleppo,Jebel Saman,Zarbah,46890.0,5470.0,5470.0,15738.0,32476.0,10925.37,32476.0,18756.0,9378.0,5470.0,16130.0,28655.0,32476.0
70,Tartous,Banyas,Banyas,82900.0,19170.0,19170.0,27388.0,57417.0,20807.9,57417.0,16580.0,16580.0,19170.0,32546.0,43064.0,57417.0
71,Deir-ez-Zor,Al Mayadin,Thiban,76900.0,15010.0,15010.0,25229.0,53261.0,16524.05,53261.0,7690.0,15380.0,22909.0,35682.0,39947.0,53261.0
72,Hama,Masyaf,Masyaf,73500.0,12720.0,12720.0,24103.0,50906.0,19110.0,50906.0,7350.0,14700.0,12720.0,30476.0,44423.0,50906.0
73,Rural Damascus,Rural Damascus,Arbin,51000.0,4570.0,4570.0,16761.0,35323.0,11424.0,51000.0,10200.0,5100.0,51000.0,17506.0,28449.0,51000.0
74,Rural Damascus,Az-Zabdani,Madaya,51100.0,1800.0,1800.0,16784.0,35392.0,11446.4,45700.0,20440.0,10220.0,45700.0,27546.0,22387.0,45700.0
75,Homs,Homs,Taldu,71100.0,4350.0,4350.0,23249.0,49244.0,18486.0,69597.0,28440.0,14220.0,69597.0,31995.0,38500.0,69597.0
76,Hama,Muhradah,Muhradah,48115.0,8585.0,8585.0,15315.0,33324.0,12509.9,33324.0,19246.0,9623.0,11083.0,23208.0,26272.0,33324.0
77,Rural Damascus,Darayya,Sahnaya,60000.0,37000.0,37000.0,20200.0,41556.0,13440.0,41556.0,12000.0,36000.0,37000.0,24679.0,32952.0,41556.0
78,Deir-ez-Zor,Abu Kamal,Susat,75400.0,1190.0,1190.0,24727.0,52222.0,15532.4,52222.0,15080.0,7540.0,10964.0,36795.0,39168.0,52222.0
79,Rural Damascus,Qatana,Sa'sa',62060.0,10310.0,10310.0,20602.0,42983.0,13901.44,46414.0,12412.0,12412.0,46414.0,33099.0,29552.0,46414.0
80,Homs,Tall Kalakh,Nasra,57700.0,40910.0,40910.0,18923.0,39963.0,15002.0,40910.0,11540.0,11540.0,40910.0,24129.0,29973.0,40910.0
81,Dar'a,Izra',Jasim,58000.0,24000.0,24000.0,18559.0,40171.0,11948.0,46787.0,23200.0,11600.0,24000.0,46787.0,33143.0,46787.0
82,Dar'a,Izra',Nawa ,57600.0,22810.0,22810.0,18782.0,39894.0,11865.6,39894.0,11520.0,11520.0,22810.0,17856.0,31107.0,39894.0
83,Rural Damascus,Az-Zabdani,Sarghaya,15500.0,900.0,900.0,5070.0,10735.0,3472.0,13900.0,1550.0,1550.0,13900.0,4805.0,8052.0,13900.0
84,Al-Hasakeh,Quamishli,Amuda,45260.0,14680.0,14680.0,14759.0,31347.0,9323.56,31347.0,18104.0,27156.0,18452.0,21590.0,27197.0,31347.0
85,Deir-ez-Zor,Deir-ez-Zor,Tabni,67750.0,10280.0,10280.0,21919.0,46924.0,14114.23,46924.0,13550.0,13550.0,17681.0,26558.0,35194.0,46924.0
86,Quneitra,Al Fiq,Fiq,2420.0,578.0,578.0,793.0,1676.0,563.86,1676.0,484.0,484.0,578.0,1300.0,1072.0,1676.0
87,Idleb,Al Ma'ra,Sanjar,60870.0,17500.0,17500.0,20002.0,42159.0,12672.2,43265.0,12174.0,6087.0,17500.0,43265.0,37677.0,43265.0
88,Rural Damascus,Al Qutayfah,Jirud,30400.0,2140.0,2140.0,9869.0,21055.0,6809.6,26700.0,6080.0,6080.0,26700.0,11400.0,13029.0,26700.0
89,Al-Hasakeh,Al-Hasakeh,Tal Tamer,50755.0,4690.0,4690.0,16560.0,35153.0,10455.53,35153.0,10151.0,20302.0,10720.0,18840.0,30668.0,35153.0
90,Homs,Al-Qusayr,Al Quasir,56890.0,14360.0,14360.0,18434.0,39402.0,14791.4,39402.0,5689.0,22756.0,14360.0,22009.0,24743.0,39402.0
91,Ar-Raqqa,Ar-Raqqa,Karama,37550.0,3455.0,3455.0,12313.0,26007.0,7752.4,30979.0,3755.0,7510.0,7893.0,30979.0,19506.0,30979.0
92,Idleb,Harim,Harim,35355.0,21680.0,21680.0,11977.0,24487.0,7223.27,24487.0,14142.0,7071.0,21680.0,20661.0,18442.0,24487.0
93,Rural Damascus,Qatana,Bait Jan,7460.0,0.0,0.0,2447.0,5167.0,1671.04,7460.0,746.0,1492.0,7460.0,6877.0,3875.0,7460.0
94,Tartous,Safita,Safita,59620.0,19055.0,19055.0,19414.0,41293.0,14964.62,41293.0,23848.0,5962.0,19055.0,21276.0,34069.0,41293.0
95,Quneitra,Quneitra,Khan Arnaba,44190.0,18025.0,18025.0,14431.0,30606.0,10296.27,33246.0,17676.0,17676.0,18332.0,33246.0,22416.0,33246.0
96,Lattakia,Jablah,Jablah,64670.0,26055.0,26055.0,20963.0,44790.0,16814.2,44790.0,12934.0,25868.0,26055.0,21876.0,26279.0,44790.0
97,Hama,Hama,Harbanifse,46520.0,1480.0,1480.0,15083.0,32220.0,12095.2,41432.0,18608.0,9304.0,9691.0,41432.0,30275.0,41432.0
98,Aleppo,Ain Al Arab,Ain al Arab,94387.0,425.0,425.0,28350.0,65372.0,21992.17,65372.0,9439.0,18877.0,12820.0,50216.0,57648.0,65372.0
99,Dar'a,Dar'a,Da'el,52000.0,19500.0,19500.0,17053.0,36015.0,10712.0,36015.0,10400.0,5200.0,19500.0,14976.0,26413.0,36015.0
100,Rural Damascus,Darayya,Markaz Darayya,43000.0,2520.0,2520.0,15349.0,29782.0,9632.0,43000.0,4300.0,4300.0,43000.0,20741.0,21614.0,43000.0
101,Aleppo,As-Safira,Banan,10990.0,3065.0,3065.0,3605.0,7612.0,2560.67,7612.0,2198.0,2198.0,3065.0,3209.0,6210.0,7612.0
102,Dar'a,Dar'a,Kherbet Ghazala,26700.0,13250.0,13250.0,8764.0,18492.0,5500.2,18492.0,10680.0,2670.0,13250.0,7690.0,13562.0,18492.0
103,Deir-ez-Zor,Deir-ez-Zor,Khasham,62300.0,850.0,850.0,19899.0,43149.0,13114.15,43149.0,6230.0,6230.0,8946.0,17942.0,32363.0,43149.0
104,Hama,Hama,Suran,26625.0,4340.0,4340.0,8659.0,18440.0,6922.5,23713.0,10650.0,5325.0,4708.0,23713.0,15468.0,23713.0
105,Aleppo,Menbij,Maskana,45370.0,10955.0,10955.0,14411.0,31423.0,10571.21,31423.0,9074.0,4537.0,15301.0,18148.0,23568.0,31423.0
106,Dar'a,Izra',Sheikh Miskine,14480.0,2220.0,2220.0,4693.0,10029.0,2982.88,10029.0,2896.0,1448.0,2220.0,9050.0,7631.0,10029.0
107,Idleb,Harim,Qourqeena,49200.0,22120.0,22120.0,16141.0,34076.0,10243.88,34076.0,9840.0,9840.0,22120.0,28395.0,26552.0,34076.0
108,Rural Damascus,Anbk,Anbk,49430.0,24110.0,24110.0,16234.0,34235.0,11072.32,34235.0,9886.0,19772.0,24127.0,14829.0,30469.0,34235.0
109,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,49845.0,18380.0,18380.0,16282.0,34523.0,10758.83,34523.0,9969.0,9969.0,18380.0,27913.0,26842.0,34523.0
110,Idleb,Idleb,Abul Thohur,49350.0,21330.0,21330.0,16086.0,34180.0,10448.18,34180.0,19740.0,19740.0,21330.0,26834.0,26852.0,34180.0
111,Dar'a,Dar'a,Mseifra,39790.0,16840.0,16840.0,13074.0,27559.0,8196.74,27559.0,15916.0,7958.0,16840.0,11460.0,19522.0,27559.0
112,Aleppo,Afrin,Raju,61015.0,22360.0,22360.0,19788.0,42259.0,14216.5,42259.0,24406.0,12203.0,27060.0,18305.0,35242.0,42259.0
113,Al-Hasakeh,Al-Hasakeh,Shadadah,43750.0,6680.0,6680.0,14280.0,30301.0,9012.5,30301.0,8750.0,17500.0,11453.0,15559.0,29167.0,30301.0
114,As-Sweida,Salkhad,Gharyeh,4600.0,330.0,330.0,1511.0,3186.0,989.0,3186.0,460.0,460.0,330.0,1840.0,2337.0,3186.0
115,Deir-ez-Zor,Deir-ez-Zor,Basira,43570.0,3575.0,3575.0,14028.0,30177.0,9073.45,30177.0,4357.0,8714.0,8790.0,23964.0,22633.0,30177.0
116,Aleppo,Jarablus,Jarablus,27780.0,11450.0,11450.0,9220.0,19240.0,6472.74,19240.0,11112.0,5556.0,13399.0,10464.0,14431.0,19240.0
117,Dar'a,Izra',Hrak,46500.0,9790.0,9790.0,15295.0,32206.0,9579.0,32206.0,9300.0,9300.0,9790.0,13392.0,23667.0,32206.0
118,Idleb,Jisr-Ash-Shugur,Darkosh,49300.0,23495.0,23495.0,16110.0,34145.0,10605.26,34145.0,9860.0,9860.0,23495.0,27608.0,27467.0,34145.0
119,Aleppo,Afrin,Jandairis,47070.0,16710.0,16710.0,15244.0,32601.0,10967.31,32601.0,18828.0,9414.0,20417.0,14121.0,17625.0,32601.0
120,Ar-Raqqa,Ath-Thawrah,Mansura,51700.0,11992.0,11992.0,16955.0,35807.0,10650.2,35807.0,10340.0,10340.0,17306.0,28435.0,26857.0,35807.0
121,Aleppo,Al Bab,Dayr Hafir,10000.0,0.0,0.0,0.0,0.0,2330.0,4844.0,0.0,0.0,1320.0,4844.0,0.0,4844.0
122,As-Sweida,Shahba,Shahba,34270.0,9500.0,9500.0,11263.0,23735.0,7368.05,23735.0,3427.0,1714.0,9500.0,12076.0,13599.0,23735.0
123,Rural Damascus,Anbk,Deir Attiyeh,45400.0,14650.0,14650.0,14845.0,31444.0,10169.6,31444.0,18160.0,9080.0,15138.0,13075.0,23584.0,31444.0
124,Rural Damascus,Al Qutayfah,Al Qutayfah,48300.0,4960.0,4960.0,15991.0,33453.0,10819.2,33453.0,4830.0,4830.0,4960.0,24522.0,25760.0,33453.0
125,Quneitra,Quneitra,Al-Khashniyyeh,37195.0,18683.0,18683.0,12137.0,25761.0,8666.44,25761.0,14878.0,7439.0,18683.0,23946.0,19838.0,25761.0
126,Lattakia,Jablah,Qteilbiyyeh,21250.0,1260.0,1260.0,6949.0,14718.0,5525.0,14718.0,2125.0,4250.0,1260.0,5950.0,11039.0,14718.0
127,Hama,Masyaf,Oj,48110.0,10400.0,10400.0,15778.0,33321.0,12508.6,33321.0,4811.0,28866.0,10400.0,31572.0,24992.0,33321.0
128,Dar'a,As-Sanamayn,Ghabagheb,44880.0,14300.0,14300.0,14634.0,31084.0,9245.28,31084.0,17952.0,8976.0,14489.0,17952.0,26333.0,31084.0
129,Aleppo,A'zaz,Nabul,40540.0,845.0,845.0,13205.0,28078.0,9445.82,28078.0,8108.0,4054.0,1059.0,24324.0,21059.0,28078.0
130,Rural Damascus,Az-Zabdani,Ein Elfijeh,40900.0,9520.0,9520.0,13420.0,28327.0,9161.6,40900.0,16360.0,16360.0,40900.0,14929.0,22274.0,40900.0
