,Admin1,Admin2,Admin3,Pop_HNO _2017,IDPs_estimates_for_the_HNO_2017,Education_PiN_2017,Education_Severity_2017
175,Ar-Raqqa,Ar-Raqqa,Sabka,26635.0,1970.0,8735.0,6.0
176,Aleppo,Al Bab,A'rima,29390.0,6638.0,9662.0,6.0
177,Ar-Raqqa,Tell Abiad,Ein Issa,17732.0,1430.0,5850.0,6.0
178,Homs,Homs,Qabu,39100.0,2250.0,12747.0,4.0
179,Aleppo,A'zaz,Aghtrin,27910.0,12960.0,9153.0,6.0
180,Deir-ez-Zor,Abu Kamal,Jalaa,28800.0,2160.0,9378.0,6.0
181,Homs,Tall Kalakh,Tall Kalakh,27830.0,2160.0,9127.0,5.0
182,Idleb,Idleb,Sarmin,9500.0,4500.0,3107.0,6.0
183,Aleppo,Ain Al Arab,Lower Shyookh,35180.0,0.0,11292.0,6.0
184,Aleppo,Al Bab,Rasm Haram El-Imam,7245.0,735.0,2403.0,6.0
185,Tartous,Banyas,Hamam Wasil,7160.0,930.0,2348.0,1.0
186,Idleb,Harim,Kafr Takharim,20250.0,16580.0,6691.0,4.0
187,Homs,Al Makhrim,Jeb Ej-Jarrah,21685.0,1520.0,6820.0,6.0
188,Tartous,Dreikish,Jneinet Raslan,7616.0,510.0,2494.0,2.0
189,Rural Damascus,Duma,Haran Al'awameed,20760.0,3410.0,7727.0,4.0
190,Al-Hasakeh,Quamishli,Qahtaniyyeh,26290.0,1675.0,8590.0,5.0
191,Hama,Masyaf,Ein Halaqim,24400.0,5450.0,8002.0,4.0
192,Aleppo,Afrin,Bulbul,21060.0,9250.0,6876.0,3.0
193,Homs,Homs,Hasyaa,20740.0,5380.0,6802.0,6.0
194,As-Sweida,As-Sweida,Mazra'a,17110.0,3450.0,5611.0,3.0
195,Al-Hasakeh,Al-Malikeyyeh,Ya'robiyah,23120.0,885.0,7545.0,5.0
196,Aleppo,A'zaz,Mare',14139.0,1175.0,4519.0,6.0
197,Aleppo,Afrin,Ma'btali,21436.0,7740.0,6973.0,3.0
198,Hama,Muhradah,Kafr Zeita,18820.0,1580.0,6187.0,4.0
199,Aleppo,As-Safira,Hajeb,7110.0,1705.0,2308.0,6.0
200,Al-Hasakeh,Al-Hasakeh,Areesheh,19810.0,680.0,6464.0,6.0
201,Homs,Homs,Mahin,0.0,0.0,0.0,4.0
202,Homs,Homs,Sadad,5600.0,20.0,1837.0,4.0
203,Al-Hasakeh,Al-Hasakeh,Hole,14059.0,2975.0,4102.0,5.0
204,Lattakia,Lattakia,Ein El-Bayda,9320.0,1310.0,3085.0,6.0
205,As-Sweida,Salkhad,Salkhad,24180.0,2680.0,7923.0,1.0
206,Hama,As-Suqaylabiyah,Tell Salhib,16960.0,30.0,5562.0,5.0
207,Rural Damascus,Darayya,Hajar Aswad,4500.0,320.0,1483.0,6.0
208,Rural Damascus,Al Qutayfah,Ma'loula,10800.0,190.0,3532.0,6.0
209,Lattakia,Al-Qardaha,Fakhura,14180.0,510.0,4636.0,1.0
210,Tartous,Tartous,Hameidiyyeh,20190.0,8360.0,6635.0,5.0
211,Tartous,Banyas,Qadmous,20220.0,3850.0,6631.0,0.0
212,Aleppo,Jarablus,Ghandorah,27403.0,14393.0,8987.0,6.0
213,Aleppo,A'zaz,Tall Refaat,13630.0,1258.0,4440.0,6.0
214,Aleppo,Al Bab,Ar-Ra'ee,20031.0,6615.0,6606.0,6.0
215,Ar-Raqqa,Tell Abiad,Suluk,34520.0,3535.0,10538.0,6.0
216,Tartous,Safita,Mashta Elhiu,16710.0,9430.0,5473.0,0.0
217,Homs,Homs,Farqalas,16330.0,4930.0,5342.0,5.0
218,Rural Damascus,Rural Damascus,Maliha,0.0,0.0,0.0,6.0
219,Tartous,Safita,Ras El-Khashufeh,16380.0,1470.0,5337.0,5.0
220,Hama,As-Suqaylabiyah,Shat-ha,15040.0,0.0,4932.0,6.0
221,Rural Damascus,Yabroud,Esal El-Ward,4550.0,390.0,1532.0,6.0
222,Rural Damascus,Az-Zabdani,Dimas,17710.0,4110.0,5808.0,6.0
223,As-Sweida,Salkhad,Thibeen,7500.0,580.0,2472.0,3.0
224,Tartous,Safita,Sisniyyeh,17370.0,2300.0,5692.0,4.0
225,Tartous,Tartous,Kareemeh,11560.0,1040.0,3793.0,5.0
226,Hama,As-Salamiyeh,Eastern Bari,3970.0,470.0,1310.0,6.0
227,Tartous,Tartous,Kherbet Elma'aza,16770.0,2160.0,5506.0,1.0
228,Tartous,Tartous,Safsafa,17160.0,1540.0,5635.0,4.0
229,Dar'a,As-Sanamayn,Masmiyyeh,12120.0,1600.0,3970.0,2.0
230,Hama,As-Salamiyeh,Saboura,4010.0,1340.0,1293.0,6.0
231,Lattakia,Al-Haffa,Kansaba,600.0,0.0,197.0,6.0
232,Lattakia,Jablah,Dalyeh,9570.0,360.0,3134.0,4.0
233,Aleppo,Al Bab,Eastern Kwaires ,0.0,0.0,0.0,6.0
234,Tartous,Banyas,Anaza,15300.0,2000.0,5028.0,3.0
235,Aleppo,As-Safira,Khanaser,540.0,0.0,177.0,6.0
236,Homs,Tall Kalakh,Hadideh,41567.0,0.0,0.0,3.0
237,Tartous,Sheikh Badr,Qumseyyeh,13460.0,3190.0,4404.0,0.0
238,Rural Damascus,At Tall,Rankus,9870.0,60.0,2921.0,5.0
239,Tartous,Dreikish,Dweir Raslan,11060.0,2240.0,3624.0,0.0
240,Homs,Tadmor,Sokhneh,13870.0,860.0,4478.0,6.0
